system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,Latitude,Longitude,NDVI,NDWI,QA10,QA20,QA60,.geo
0_+861677+204028,1374.0,18.0,1270.5,966.5,1128.0,980.5,997.5,1007.5,1123.5,1231.5,1122.5,1306.5,340.0,18.32819199459798,77.40580682318989,0.059194568544626236,-0.06171850860118866,0.0,0.0,0.0,
0_+861677+204029,1439.0,26.0,1271.0,913.0,1196.0,1048.0,1065.0,1040.0,1110.0,1262.0,1194.0,1357.0,247.0,18.32828182612639,77.40580682318989,0.057104915380477905,-0.031237322837114334,0.0,0.0,0.0,
0_+861677+204030,1367.0,17.5,1244.5,947.0,1141.5,1001.5,1031.0,1020.5,1111.0,1250.5,1235.0,1322.0,308.0,18.328371657654802,77.40580682318989,0.08992304652929306,-0.003896568901836872,0.0,0.0,0.0,
0_+861677+204031,,,,,,,,,,,,,,18.328461489183216,77.40580682318989,,,,,,
0_+861677+204032,1439.0,26.0,1248.0,937.0,1187.0,1020.0,1041.0,1009.0,1157.0,1252.0,1151.0,1361.0,247.0,18.328551320711625,77.40580682318989,0.05018248036503792,-0.04043351486325264,0.0,0.0,0.0,
0_+861677+204033,1367.0,17.5,1151.0,885.5,1113.0,965.0,970.0,948.0,1038.5,1138.0,1057.0,1193.5,308.0,18.32864115224004,77.40580682318989,0.04273861274123192,-0.0426718145608902,0.0,0.0,0.0,
0_+861677+204034,1367.0,17.5,1151.0,885.5,1103.0,940.5,932.0,948.0,1038.5,1138.0,998.5,1193.5,308.0,18.328730983768452,77.40580682318989,0.034748375415802,-0.07077732682228088,0.0,0.0,0.0,
0_+861677+204035,1358.0,17.5,1056.0,825.0,1096.0,937.5,927.5,920.0,977.0,1071.0,995.0,1143.0,282.0,18.32882081529686,77.40580682318989,0.03535424917936325,-0.029742974787950516,0.0,0.0,0.0,
0_+861677+204036,1358.0,17.5,1056.0,825.0,1103.5,942.5,933.5,920.0,977.0,1071.0,1002.5,1143.0,282.0,18.328910646825275,77.40580682318989,0.03589452803134918,-0.025980263948440552,0.0,0.0,0.0,
0_+861677+204037,1358.0,17.5,1036.5,828.0,1101.0,941.5,927.5,916.5,981.0,1067.0,998.0,1119.5,282.0,18.329000478353688,77.40580682318989,0.03696306049823761,-0.018949009478092194,0.0,0.0,0.0,
