system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,Latitude,Longitude,NDVI,NDWI,QA10,QA20,QA60,.geo
0_+861773+204033,1373.5,16.5,1415.5,1091.0,1145.0,1016.5,1060.0,1099.0,1154.0,1310.0,1215.5,1398.5,329.0,18.32864115224004,77.41443064991745,0.0678572878241539,-0.07643117010593414,0.0,0.0,0.0,
0_+861773+204034,1378.0,17.0,1391.5,1045.0,1130.5,992.0,1027.0,1064.0,1188.0,1322.5,1179.0,1479.5,342.5,18.328730983768452,77.41443064991745,0.06920066475868225,-0.08270461857318878,0.0,0.0,0.0,
0_+861774+204024,1373.5,17.5,1147.0,892.5,1120.5,954.0,953.0,941.5,1011.5,1131.0,1058.5,1194.0,321.0,18.32783266848433,77.41452048144586,0.05262713134288788,-0.040128037333488464,0.0,0.0,0.0,
0_+861774+204025,1373.5,17.5,1147.0,892.5,1103.5,946.0,952.0,941.5,1011.5,1131.0,1048.5,1194.0,321.0,18.327922500012743,77.41452048144586,0.04849563539028168,-0.04487599432468414,0.0,0.0,0.0,
0_+861774+204026,1373.5,17.5,1125.0,876.0,1111.5,948.5,945.5,934.5,1010.5,1105.5,1067.5,1207.0,321.0,18.328012331541156,77.41452048144586,0.06097542867064476,-0.02616090700030327,0.0,0.0,0.0,
0_+861774+204027,1373.5,17.5,1125.0,876.0,1112.0,949.0,952.0,934.5,1010.5,1105.5,1050.5,1207.0,321.0,18.328102163069566,77.41452048144586,0.04952845349907875,-0.034180898219347,0.0,0.0,0.0,
0_+861774+204028,1373.5,16.5,1166.5,895.0,1105.5,945.5,960.0,955.0,1018.0,1145.5,1055.5,1209.5,329.0,18.32819199459798,77.41452048144586,0.04771769046783447,-0.04968754202127457,0.0,0.0,0.0,
0_+861774+204029,1373.5,16.5,1166.5,895.0,1108.5,952.5,955.5,955.0,1018.0,1145.5,1060.5,1209.5,329.0,18.32828182612639,77.41452048144586,0.05286707356572151,-0.04736371338367462,0.0,0.0,0.0,
0_+861774+204030,1373.5,16.5,1373.5,1067.0,1130.5,991.5,1035.0,1047.0,1155.5,1252.5,1178.0,1404.5,329.0,18.328371657654802,77.41452048144586,0.06528168171644211,-0.07627946883440018,0.0,0.0,0.0,
0_+861774+204031,1373.5,16.5,1373.5,1067.0,1175.5,1047.0,1132.0,1047.0,1155.5,1252.5,1287.5,1404.5,329.0,18.328461489183216,77.41452048144586,0.06466203927993774,-0.031369805335998535,0.0,0.0,0.0,
0_+861774+204032,1373.5,16.5,1415.5,1091.0,1161.5,1037.5,1109.0,1099.0,1154.0,1310.0,1287.0,1398.5,329.0,18.328551320711625,77.41452048144586,0.07414742559194565,-0.04767783358693123,0.0,0.0,0.0,
0_+861774+204033,1373.5,16.5,1415.5,1091.0,1138.0,995.0,1043.0,1099.0,1154.0,1310.0,1185.0,1398.5,329.0,18.32864115224004,77.41452048144586,0.06354110687971115,-0.0888243168592453,0.0,0.0,0.0,
0_+861774+204034,1378.0,17.0,1391.5,1045.0,1128.0,992.5,1017.5,1064.0,1188.0,1322.5,1170.5,1479.5,342.5,18.328730983768452,77.41452048144586,0.07027952373027802,-0.08602720499038696,0.0,0.0,0.0,
0_+861775+204023,1373.5,17.5,1524.5,1143.0,1115.0,983.5,1022.0,1116.5,1225.0,1359.0,1147.0,1503.0,321.0,18.32774283695592,77.41461031297428,0.05742848664522171,-0.14106515049934387,0.0,0.0,0.0,
0_+861775+204024,1373.5,17.5,1272.0,955.5,1117.5,963.0,974.0,1002.5,1075.0,1201.5,1075.0,1322.5,321.0,18.32783266848433,77.41461031297428,0.049204520881175995,-0.08375711739063263,0.0,0.0,0.0,
